ÒÑÖª±êÇ©,Alpha,Beta,Theta,Delta
6,39.26,17.38,9.56,11.09
6,28.82,17.8,10.44,11.88
6,19.22,17.25,8.83,14.06
6,20.86,18.34,7.4,9.78
6,9.83,19.28,7.16,9.16
6,10.32,18.54,6.75,9.5
6,10.05,19.74,7.05,10.53
6,9.78,19.7,7.39,11.28
6,11.41,16.84,9.85,16.73
6,10.31,16.25,11.08,16.69
6,9.86,14.82,11.21,20.71
6,10.08,15.02,10.1,17.25
6,13.76,14.85,9.1,16.65
6,14.06,15.04,10.41,17.89
6,10.68,15.88,9.6,17.47
6,9.25,17.95,7.67,12.45
6,9.59,17.93,8.65,13.2
6,10.36,17.51,8.83,13.27
6,9.39,17.75,8.48,15.59
6,8.97,17.67,9.21,14.5
6,10.55,16,9.21,14.6
6,9.51,19.61,6.62,11.38
6,14.98,14.97,18.32,20.13
6,12.88,15.07,18.38,21.58
6,19.34,13.75,14.85,20.64
6,16.36,14.06,15.74,22.46
6,13.51,15.43,12.49,23.46
6,14.46,14.12,11.79,23.56
6,12.05,14.82,13.63,24.24
6,9.83,14.8,9.89,19.82
6,10.21,14.28,9.91,21.32
6,10.6,16.85,9.22,14.5
6,11.54,14.9,8.22,15.74
6,11.15,15.99,8.67,15.21
6,10.64,16.03,9.38,16.08
6,9.65,16.85,9.39,14.1
6,9.26,17.6,9.2,11.83
6,10.14,17.25,7.76,15.4
6,11.86,16.29,9.79,17.21
6,22.99,14.15,15.3,21.33
6,18.68,13.25,11.54,21.17
6,13.89,14.22,14.03,24.5
6,11.72,14.74,11.58,20.94
6,16.93,12.34,11.47,22.1
6,11.31,15.24,12.05,22.74
6,10.58,15.09,12.58,22.22
6,11.11,13.31,12.72,25.59
6,12.42,15.26,14.68,20.93
6,13.26,14.91,15.14,24.22
6,13.01,15.45,16.77,23.91
6,11.79,17.31,8.14,14.58
6,9.88,17.42,9.09,14.51
6,21.11,12.94,26.16,19.54
6,22.11,12.37,28.77,20.86
6,23.47,12.95,21.58,21.27
6,23.01,12.61,26.8,20.42
6,17.55,11.01,30.14,23.03
6,25.09,12.35,24.14,20.13
6,18.66,13.3,26.38,23.53
6,26.53,12.14,21.9,20.97
6,21.25,12.46,24.21,22.9
6,24.36,11,22.55,20.43
6,21.56,12.68,23.68,22.6
6,19.98,12.91,24.3,22.85
6,24.84,12.86,24.7,20.61
6,12.92,9.54,9.23,24.2
6,19.58,11.95,21.27,24.09
6,13.08,10.47,20.72,27.88
6,7.82,6.72,8.25,40.4
6,22.94,12.43,22.37,21.14
6,20.94,11.62,25.45,22.78
6,11.7,8.74,12.55,29.25
6,19.28,12.61,19.99,20.78
6,13.68,8.17,7.74,35.32
6,14.03,8.77,11.05,38.86
6,17.1,9.89,13.61,23.91
6,24.67,11.46,22.33,20.24
6,26.21,12.15,22.65,20.74
6,20.34,10.66,26.45,25.78
6,23.49,12.34,22.68,20.66
6,22.94,11.2,25.85,23.24
6,21.96,11.24,25.1,24.9
6,17.06,12.67,26.6,23.29
6,17.74,11.26,13.74,24.3
6,21.46,12.72,24.46,22.82
6,13.31,17.81,10.09,14.73
6,8.73,15.84,7.7,14.93
6,10.36,17.47,8.98,15.62
6,10.66,17.69,8.95,13.27
6,10.61,17.98,9.54,14.35
6,9.71,17.49,8.63,15.06
6,7.54,8.84,6.26,31
6,21.49,12.63,13.18,18.84
6,25.51,14.56,22.53,18.75
6,23.47,14.3,26.23,18.38
6,22.84,13.07,26.81,21.51
6,10.12,8.65,5.6,21.18
6,23.79,13.06,19.29,17.98
6,22.83,12.69,19.22,21.27
6,12.98,10.09,11.24,26.27
6,17.38,10.66,10.35,25.68
6,17.6,11.54,12.59,26.8
6,10.84,8.52,7.03,21.92
6,21.56,11.62,11,20.14
6,21.19,13.37,17.06,21.42
6,24,12.91,21.42,20.37
6,24.12,12.58,20.82,23.52
6,16.78,14.6,14.84,22.94
6,19.2,12.43,17.58,22.79
6,17.64,10.79,11.01,18.77
6,12.6,11.16,8.31,15.63
6,14.92,10.62,8.88,20.28
6,23.22,12.54,19.47,22.92
6,27.26,14.08,16.98,19.98
6,20.81,11.06,32.23,21.41
6,11.81,22.92,5.64,6.81
6,11.06,22.75,6.71,7.78
6,10.35,22.18,7.01,8.68
6,9.16,22.65,7.24,7.91
6,9.06,20.84,6.51,8.23
6,9.28,21,7.18,9.25
6,9.68,20.49,9.54,15.81
6,9.28,15.99,10.28,19.27
6,8.91,19.15,10.16,16.83
6,9.46,19.57,10.2,17.62
6,9.41,16.7,12.15,18.28
6,10.49,18.93,12.06,16.6
6,10.65,19.11,11.22,16.99
6,9.67,18.31,11.63,17.2
6,8.69,18.6,11.93,18.09
6,9.54,17.91,10.79,17.09
6,8.99,19.03,10.31,16.99
6,9.55,20.23,11.58,15.77
6,8.13,20.38,6.76,10.78
6,9.88,21.36,6.46,8.89
6,8.09,20.87,7.01,8.82
6,10.86,20.75,7.14,10.38
6,10.19,21.5,6.51,8.41
6,7.63,7.76,12.42,26.93
6,10.78,16.13,8.03,17.2
6,10.73,16.97,8.85,15.51
6,11.44,15.54,9.63,15.78
6,10.89,16.5,10.16,14.03
6,9.72,12.89,8.72,25.5
6,9.62,6.52,8.29,32.91
6,23.83,13.96,16.3,20.88
6,26.83,13.08,17.86,20.37
6,23.46,11.71,22.3,23.03
6,26.39,12.62,21.4,18.43
6,6.86,7.36,5.33,27.84
6,7.77,8.95,6.85,25.46
6,18.32,14.1,13.55,21.39
6,19.86,13.45,15.37,22.56
6,26.92,12.59,22.2,20.25
6,22.01,11.89,24.91,22.14
6,11.64,18.23,8.46,16.39
6,12.33,22.17,8.23,9
6,10.72,20.05,6.92,9.5
6,11.69,21.15,7.36,8.9
6,22.5,12.3,29.16,20.85
6,22.59,12.87,29.75,20.45
6,21.94,13.43,28.45,19.38
6,7.1,7.95,14.59,34.32
6,15.24,8.86,12.49,16.62
6,10.81,21.48,7.52,10.49
6,9.06,19.95,6.56,9.32
6,9.95,22.23,5.81,8.79
6,10.45,19.26,6.92,11.47
6,9.96,20.89,7.08,9.77
6,9.75,21.15,6.48,9.46
6,9.27,21.25,7.01,9.01
6,9.3,19.72,6.77,12.18
6,9.66,20.55,6.69,11.01
6,9.1,20.18,7.2,11.62
6,11.38,22.26,5.96,7.63
6,11.73,21.89,6.4,7.4
6,10.57,21.72,6.08,7.94
6,11.23,24.37,5.93,6.81
6,10.32,20.61,6.37,8.61
6,13.33,20.58,7.46,8.74
6,12.44,22.55,8.48,9.54
6,13.13,22.64,10.05,7.23
6,10.9,22.56,8.92,8.58
6,11.94,21.47,7.75,10.21
6,12.36,21.59,8.62,9.37
6,13.37,20.14,6.82,8.78
6,12.2,22.78,7.05,9.43
6,11.61,19.88,8.74,9.79
6,12.72,21.57,7.64,8.02
6,34.07,24.8,11.74,9.84
6,30.63,25.52,11.03,9.94
6,30.04,24.46,9.61,10.8
6,28.13,25.89,9.11,11.61
6,28.26,24.63,10.28,11.96
6,8.68,15.37,4.49,17.29
6,15.3,21.05,8.89,11.2
6,18.6,11.95,13.3,23.23
6,15.3,13.74,11.39,20.04
6,14.43,12.16,13.22,22.7
6,12.43,11.69,9.45,23.49
6,12.52,21.82,6.71,12.26
6,13.72,23.61,7.31,8.64
6,12.8,25.64,7.9,8.29
6,13.11,22.56,8.28,8.85
6,13.09,23.81,9.21,8.33
6,9.75,20.15,6.93,11.91
6,39.33,18.12,10.03,11.25
6,40.28,18.09,10.81,10.78
6,34.34,16.71,9.8,8.94
6,38.75,16.85,8.58,9.15
6,32.53,17.59,9.57,10.78
6,39.15,16.85,11.04,10.44
6,9.93,18.71,7,10.89
6,14.96,17.22,7.5,22.12
6,21.96,17.21,8.34,16.94
6,23.81,17.94,7.76,10.37
6,26.63,18.13,8.14,12.81
6,39.02,17.29,9.85,12.25
6,41.95,16.6,10.02,12.04
6,41.51,16.97,10.55,11.14
6,38.93,19.03,11.25,11.97
6,39.64,18.17,10.35,12.57
6,26.02,17.15,9.02,11.68
6,32.96,17.66,12.06,13.99
6,29.04,19.11,12.89,15.07
6,16.91,16.44,8,16.53
6,16.91,14.77,9.65,20.74
6,15.19,14.75,9.13,22.93
6,14.93,10.79,11.3,32.79
6,18.19,16,8.5,21.48
6,17.21,11.12,6.74,25.71
6,19.42,11.92,16.32,26.64
6,17.86,13.66,9.32,16.89
6,19.65,15.09,7.47,19.38
6,24.52,13.61,7.45,20.75
6,15.91,14.91,9.18,15.95
6,21.53,14.05,10.57,16.24
6,21.74,12.28,14.93,26.49
6,29.88,12.97,18.35,20.24
6,18.69,10.98,8.18,27.74
6,23.9,12.53,11.84,20.72
6,13.05,18.38,5.53,12.04
6,15.17,17.72,6.83,13.27
6,24.03,17.65,9.49,15.21
6,18.07,16.81,8.46,15.11
6,19.7,16.73,8.63,18.43
6,20.79,17.05,10.19,16.44
6,8.22,20.27,8.6,13.62
6,9.18,17.75,9.19,16.46
6,9.3,19.33,9.06,19.11
6,10.62,17.88,9.27,12.85
6,25.6,17.3,8,10.15
6,33.08,17.71,10.01,10.52
6,37.94,16.48,10.46,10.83
6,37.87,17.52,9.62,10.75
6,37.51,17.47,8.89,10.95
6,41.49,17.29,10.05,10.41
6,41.13,16.98,9.64,11.24
6,16.08,18.93,6.36,13.38
6,19.43,16.53,6.88,18.39
6,21.83,17.99,9.85,15.92
6,23.29,18.14,10.11,15.95
6,22.65,18.07,9.31,18.11
6,22.82,18.39,8.92,17.48
6,22.43,16.71,9.79,17.03
6,21.83,16.59,9.27,16.7
6,20.08,16.76,8.88,15.91
6,15.32,16.53,6.63,15.87
6,24.26,14.49,8.09,20.26
6,27,16.09,8.85,20.3
6,24.79,16.57,9.03,21.85
6,25.17,15.48,9.46,18.64
6,19.93,17.41,8.28,18.11
6,22.65,15.96,9.94,19.67
6,20.84,14.61,10.87,20.2
6,24.24,13.79,9.59,19.68
6,26.01,14.98,10.39,20.16
6,21.49,14.01,11.1,21.23
6,24.45,12.63,8.7,18.96
6,18.18,15.2,10.22,19.37
6,24.36,15.14,10.54,19.22
6,17.51,15.64,8.73,17.52
6,25.41,16.71,9.89,16.57
6,22.47,17.65,10.45,17.96
6,27.8,18.02,9.83,17.27
6,26.48,13.65,10.45,19.11
6,24.56,12.95,15.32,17.6
6,24.8,16.85,11.49,16.9
6,25.89,15.59,10.78,17.38
6,23.13,14.36,16.03,19.45
6,22.46,15.79,11.02,19.34
6,23.19,16.38,10.86,16.58
6,25.26,16.06,10.36,16.38
6,12.7,16.48,5.88,16.64
6,20.7,14.99,9.47,17.5
6,24.62,14.42,10.13,16.98
6,25.23,15.96,10.5,18.34
6,26.25,14.94,11.62,17.79
6,24.13,15.62,9.87,16.69
6,23.71,13.33,13.8,16.62
6,24.42,13.2,15.64,18.25
6,14.97,19.85,6.88,15.35
6,21.68,15.88,12.93,18.51
6,10.59,20.44,8.29,17.82
6,8.59,14.42,5.46,21.2
6,19.31,16.14,12.59,20.28
6,6.17,8.89,6.23,30.5
6,10.76,16.84,11,16.17
6,7.21,17.36,7.13,17.73
6,8.42,16.91,6.34,14.76
6,8.92,15.05,7.94,21.24
6,19.51,18.09,12.65,18.25
6,21.61,16.07,11.34,19.26
6,22.28,16.13,13.31,17.68
6,8.74,17.65,6.87,15.2
6,22.66,14.91,11.45,18.1
6,21.68,14.52,12.35,19.18
6,16.97,14.12,13.49,22.08
6,12.56,14.02,16.38,24.94
6,13.46,15.42,13.32,16.17
6,11.2,12.98,18.03,32.96
6,11.84,17.57,9.44,16.94
6,14.62,14.47,17.37,22.06
6,16.88,21.48,12.03,12.72
6,15.25,21.27,13.42,14.24
6,19.16,22.76,14.75,14.99
6,16.37,21.82,15.94,15.68
6,22.41,16.11,9.96,21.59
6,23.35,16.66,10.41,20.62
6,18.88,16.54,9.6,20.22
6,26.01,17.45,9.21,18.6
6,22.56,15.28,9.16,18.03
6,21.5,15.16,10.28,20.63
6,24.03,15.54,9.11,18.84
6,21.39,13.52,9.43,18.72
6,23.54,14.81,10.47,18.28
6,25.39,16.44,9.51,18.91
6,25.92,16.25,8.81,18.7
6,14.35,22.65,13.33,13.81
6,19.7,21.58,15.31,14.13
6,15.52,21.35,15.4,14.79
6,15.48,21.62,12.67,14.97
6,12.7,20.1,12.44,13.99
6,14.88,20,12.85,13.68
6,13.35,20.66,14.39,16.22
6,15.65,21.62,14.01,14.5
6,14.97,20.35,13.71,14.65
6,16.05,22.13,14.35,15.48
6,17.29,19.93,14.63,17.85
6,17.74,20.61,13.35,16.11
6,15.94,19.87,14.53,17.73
6,16.57,18.59,14.51,15.06
6,17.1,21.17,12.09,16.87
6,18.47,21.23,12.6,15.44
6,14.59,21.61,14.44,17.72
6,14.59,21.67,17.19,17.39
6,18.24,23.56,13.83,14.96
6,18.31,21.12,14.51,16.02
6,14.26,20.25,14.11,18.68
6,14.65,20.46,15.5,18.28
6,17.15,21.06,14.69,15.87
6,13.11,20.02,12,13.48
6,15.55,21.04,15.08,13.57
6,15.49,21.12,15.76,15.97
6,13.74,21.29,15.1,17.08
6,13.73,21.57,13.53,14.34
6,15.37,21.38,13.04,12.58
6,16.34,20.31,12.73,14.35
6,12.69,21.24,13.67,14.79
6,16.21,22.82,14.99,13.92
6,17.02,20.9,14.28,14.6
6,15.08,21.73,13.5,15.24
6,14.39,21.06,13.26,13.07
6,15.63,21.5,12.56,12.56
6,16.32,21.1,12,12.76
6,14.4,20.73,13.18,13.46
6,15.6,20.61,12.49,12.02
6,15.36,21.49,12.57,12.21
6,11.63,20.29,10.12,11.63
6,11.94,20.45,12.1,13.83
6,15.26,22.95,13.57,14
6,16.14,20.45,14.54,13.26
6,14.85,19.99,12.54,13.77
6,12.98,19.72,12.95,17.53
6,13.82,20.11,14.3,14.02
6,18.65,20.14,15.93,14.67
6,16.78,20.86,15.36,14.33
6,18.14,21.22,14.71,14.03
6,16.74,23.34,12.52,13.62
6,15.59,20.83,14.85,13.88
6,14.08,20.88,16.84,12.98
6,17.91,20.66,14.92,12.1
6,14.37,20.45,14.64,14.12
6,12.82,19.89,13.55,14.52
6,17.76,22.09,14.99,16.12
6,17.16,22.02,15.78,13.66
6,17.18,22.43,13.62,15.3
6,13.59,19.62,15.09,18.88
6,9.32,18.14,12.23,17.4
6,14.21,19.78,13.03,14.04
6,16.07,20.36,14.14,14.03
6,13.98,21.45,11.78,12.68
6,15.33,22.15,14.53,13.33
6,15.51,20.81,13.05,13.62
6,13.72,21.52,12.66,13.78
6,13.58,20.35,12.45,12.9
6,15.11,21.84,14.25,15.04
6,16.46,23.4,14.19,17.08
6,15.84,24.31,13.53,16.17
6,17.87,20.44,14.63,15.62
6,13.31,21.63,10.09,12.87
6,16.13,21.05,12.46,14.33
6,14.74,24.07,10.06,15.01
6,16.68,20.62,14.81,16.07
6,15.57,19.5,12.09,18.97
6,8.43,18.51,6.72,12.79
6,8.89,19.71,8.65,12.58
6,9.14,20.1,6.94,9.84
6,9.94,19.46,9,11.62
6,9.64,20.52,7.39,9.82
6,10.53,20.83,8.7,9.74
6,10,20.36,9.69,10.47
6,11.21,20.29,7.35,8.57
6,10.65,21.73,7.22,8.77
6,11.3,20.82,9.58,11.35
6,9.42,19.83,7.17,9.16
6,12.9,20.02,13.76,14.27
6,14.14,20.63,12.69,16.4
6,17.33,20.21,13.52,16.21
6,14.88,20.72,13.14,16.83
6,17.76,22.02,16.03,14.95
6,12.78,19.1,14.74,18.55
6,14.82,20.88,14.32,15.25
6,18.09,20.68,12.43,16.28
6,15.92,22.8,14.73,16.54
6,15.51,26.12,14.2,15.51
6,18.09,24.92,14.68,14.74
6,17.07,24.55,14.97,15.89
6,13.87,21.38,9.49,10.42
6,13.02,20.01,9.08,9.74
6,9.94,20.54,6.95,10.56
6,12.82,21.02,8.86,10.18
6,14.56,20.34,9.49,9.29
6,8.91,20.27,8.01,9.14
6,10.19,20.41,7.28,8.87
6,9.34,20.7,7.37,9.26
6,10.03,20.2,7.29,8.94
6,9.55,21.43,6.61,9
6,9.6,19.72,7.3,10.78
6,8.54,20.73,6.31,9.45
6,10.7,22.22,7.5,10.01
6,10.26,19.47,8.19,11.59
6,9.27,21.27,7.53,8.38
6,9.68,21.88,6.61,8.02
6,9.26,21.31,7.21,8.35
6,12.08,21.34,8.26,9.56
6,8.96,21.54,6.33,8.19
6,9.44,19.65,7.81,9.67
6,10.25,19.86,8.82,11.53
6,13.32,20.84,10.27,12.21
6,14.21,21.05,9.13,11.17
6,12.62,18.85,8.47,13.92
6,13.49,18.14,14.41,17.27
6,14.51,20.43,13.09,17.3
6,14.51,20.39,14.04,15.07
6,13.5,21.82,11.59,10.89
6,12.03,17.63,9.66,14.67
6,10.29,17.24,8.9,14.96
6,10.81,17.89,9.14,16.77
6,12.01,18.12,11.43,19.33
6,11.04,18.25,8.28,14.52
6,10.5,19.92,7.8,12.12
6,11.54,19.1,11.6,16.22
6,11.38,19.44,13.43,15.24
6,14.56,19.22,13.29,12.86
6,11.53,20.03,13.62,14.04
6,10.61,21.36,10.89,15.11
6,10.6,19.9,11.1,15.17
6,12.91,20.43,12.53,12.17
6,11.14,20.15,10,11.66
6,11.3,19.31,10.08,14.01
6,10.66,19.24,11.14,14.8
6,10.15,21.77,9.12,9.99
6,13.01,19.47,12.39,13.04
6,12.33,19.26,12,15.03
6,11.4,20.42,12.23,13.51
6,10.09,18.86,11.42,15.25
6,11.83,20.18,12.28,14.92
6,11.89,19.39,10.96,13.43
6,13.87,22.08,11.71,12.38
6,12.28,19.71,11.63,14.74
6,11.13,18.48,11.65,16.24
6,11.53,20.74,11.24,14.88
6,13.11,19.72,12.36,14
6,11.9,20.46,10.12,13.47
6,14.41,20.77,10.83,12.26
6,11.15,20.25,9.21,10.49
6,9.89,19.16,8.24,12.61
6,11.84,18.22,8.79,14.48
6,9.94,15.96,9.31,16.28
6,11.04,18.9,8.71,14.93
6,11.99,18.58,11.54,20.22
6,16.51,18.53,12.89,15.25
6,11.77,18.71,10.99,14.67
6,10.11,19.1,9.56,14.2
6,9.69,18.39,9.16,14.95
6,12.1,18.58,9.77,16.11
6,11.81,20.12,10.7,14.96
6,10.72,20.74,11.67,16.7
6,10.85,19.84,10.78,15.74
6,12.16,20.71,9.19,13.3
6,10.28,19.88,9.15,13.42
6,11.77,19.5,10.4,13.69
6,9.92,20.55,10.82,15.48
6,9.66,19.33,10.39,16.17
6,11.86,19.59,9.94,14.08
6,11.41,21.03,8.66,12.86
6,10.9,19.29,9.1,13.13
6,13,18.35,10.07,11.66
6,9.52,18.98,10.88,13.91
6,9.96,19.63,9.61,16.9
6,14.97,20.52,9.32,12.38
6,15.91,20.13,10.27,13.84
6,13.65,20.02,10.57,13.89
6,10.04,19.81,9.01,13.56
6,11.7,20.24,9.65,14.46
6,9.65,20.19,7.32,8.88
6,8.74,20.88,7,10.29
6,14.17,21.69,11.14,11.56
6,10.68,20.2,8.45,10
6,10.23,20.36,7.48,9.58
6,9.16,19.98,8.27,9.26
6,9.99,21.82,8.14,9.56
6,8.67,20.68,6.9,10.08
6,10.04,19.58,7.63,10.97
6,16.04,20.87,12.31,12.93
6,18.41,21.15,12.23,12.61
6,16.14,20.85,14.55,14.47
6,8.86,20.5,8.88,10.34
6,9.96,20.27,7.41,10.11
6,9.34,20.84,8.16,9.66
6,14.57,21.33,10.7,9.21
6,15.23,20.55,14.96,14.68
6,10.25,20.25,9.67,13.73
6,12.32,19.32,9.48,11.61
6,12.11,20.55,9.88,11.59
6,10.65,19.64,10.64,14.05
6,9.17,20.19,9.07,13.6
6,9.82,20.02,9.16,13.08
6,10.3,20.26,10.34,15.52
6,11.91,19.4,10.85,13.25
6,10.08,18.52,10.87,15.04
6,14.06,17.16,12.27,14.22
6,8.89,18.95,9.91,13.73
6,10.44,19.76,9.94,14.62
6,9.28,19.87,8.8,14.4
6,8.97,21.06,6.81,8.08
6,10.01,20.37,6.91,7.46
6,10.65,22.82,7.43,7.44
6,10.51,22.33,6.71,6.66
6,8.88,17.79,8.01,14.49
6,8.79,18.02,8.16,12.31
6,8.55,17.99,7.23,12.54
6,9.57,20.2,6.52,10.65
6,9.82,20.08,9.78,12.22
6,10.16,20.33,8.15,10.29
6,8.05,18.38,6.32,12.93
6,9.69,20.48,8.52,14.47
6,9.79,20.63,8.2,12.88
6,9.74,19.96,9.96,14.79
6,10.07,20.03,8.4,13.45
6,9,20.18,8.37,12.26
6,9.64,19.63,9.45,14.96
6,10.14,18.66,8.52,14.65
6,10.41,19.26,8.39,16.6
6,9.85,20.88,7.04,10.57
6,9.18,18.37,5.61,11.67
6,9.95,21.7,6.54,8.33
6,9.31,21.68,7.16,7.72
6,9.3,21.47,6.31,10.71
6,10.58,22.46,6.7,8.61
6,10.34,21.9,7.57,7.17
6,9.84,22.6,7.23,8.2
6,10.11,21.04,6.67,8.62
6,9.9,21.14,7.55,8.81
6,11.43,21.44,7.15,9.76
6,11.9,22.16,7.7,8.52
6,9.44,20.81,6.44,7.52
6,10.75,20.96,7.81,6.87
6,10.7,21.25,9.81,13.04
6,11.77,22.31,6.55,7.3
6,10.97,20.04,7.19,7.87
6,9.98,20.84,6.24,7.58
6,10.52,22.72,7.37,9.88
6,11.19,21.39,7.27,6.96
6,10.69,20.97,7.71,7.53
6,10.93,19.89,8.57,8.25
6,10.94,21.57,7.12,8.05
6,11.06,21.35,7.68,7.68
6,11.35,21.3,7.76,7.44
6,10.77,20.66,7.87,7.53
6,10.6,20.6,7.51,6.72
6,10.06,20.91,7.63,7.41
6,10.91,21.47,7,8.52
6,10.74,22.24,9.37,11.86
6,12.1,19.11,8.29,15.14
6,9.93,20.99,6.79,14.12
6,10.94,22.24,6.98,6.75
6,10.73,21.81,6.87,9.85
6,10.53,20.51,7.7,8.31
6,11.47,21.63,7.03,8.14
6,10.34,23.64,6.07,6.57
6,10.48,21.49,7.61,7.58
6,11.51,20.95,7.06,8.16
6,10.9,21.61,7.9,7.93
6,8.99,21.54,8.15,10.19
6,9.9,21.1,7.22,7.09
6,9.55,20.54,7.12,8.96
6,9.48,21.09,6.93,9.23
6,9.67,22.95,5.93,7.38
6,10.45,23.14,6.19,8.69
6,10.06,18.96,6.64,14.2
6,9.52,20.15,6.6,12.72
6,10.91,21.22,7.51,12.06
6,10.99,19.68,7.83,12.03
6,9.93,22.18,6.5,9.57
6,8.92,22.26,6.59,11.54
6,9.19,14.85,7.34,26.8
6,18.04,19.91,6.71,14.78
6,18.66,19.63,7.23,13.38
6,27.78,26.52,10.35,12.08
6,30.95,25.07,10.13,11.12
6,16.98,17.46,6.53,19.17
